-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  /Users/echow/QSU/SEER-medicare/code/hcpcs.log
  log type:  text
 opened on:  13 Jul 2018, 12:14:18

.         tab hcpcs, sort

 HCPCS Code |      Freq.     Percent        Cum.
      99205 |      1,971        0.05       87.91
      85008 |      1,963        0.05       87.96
      72050 |      1,945        0.04       88.00
      82805 |      1,940        0.04       88.05
      85007 |      1,933        0.04       88.09
      J9000 |      1,903        0.04       88.14
      J1100 |      1,902        0.04       88.18
      87075 |      1,869        0.04       88.22
      31628 |      1,863        0.04       88.27
      J2000 |      1,858        0.04       88.31
      84154 |      1,851        0.04       88.35
      A9505 |      1,834        0.04       88.39
      99245 |      1,829        0.04       88.44
      82784 |      1,786        0.04       88.48
      70491 |      1,775        0.04       88.52
      86592 |      1,770        0.04       88.56
      76095 |      1,765        0.04       88.60
      90784 |      1,761        0.04       88.64
      31623 |      1,751        0.04       88.68
      88302 |      1,735        0.04       88.72
      85022 |      1,734        0.04       88.76
      99243 |      1,733        0.04       88.80
      93797 |      1,728        0.04       88.84
      52000 |      1,721        0.04       88.88
      86922 |      1,721        0.04       88.92
      97770 |      1,719        0.04       88.96
      93350 |      1,705        0.04       89.00
      85595 |      1,704        0.04       89.04
      90806 |      1,686        0.04       89.08
      93923 |      1,677        0.04       89.11
      43235 |      1,669        0.04       89.15
      90732 |      1,644        0.04       89.19
      90857 |      1,625        0.04       89.23
      85044 |      1,616        0.04       89.27
      99218 |      1,613        0.04       89.30
      Q0166 |      1,609        0.04       89.34
      87045 |      1,599        0.04       89.38
      89051 |      1,592        0.04       89.41
      19101 |      1,590        0.04       89.45
      74415 |      1,587        0.04       89.49
      93225 |      1,583        0.04       89.52
      80092 |      1,577        0.04       89.56
      88311 |      1,569        0.04       89.60
      72070 |      1,565        0.04       89.63
      78472 |      1,549        0.04       89.67
      87184 |      1,548        0.04       89.70
      73564 |      1,543        0.04       89.74
      19100 |      1,532        0.04       89.77
      A0380 |      1,532        0.04       89.81
      97039 |      1,519        0.04       89.84
      71270 |      1,514        0.03       89.88
      97139 |      1,509        0.03       89.91
      71100 |      1,502        0.03       89.95
      77332 |      1,497        0.03       89.98
      93733 |      1,492        0.03       90.02
      87340 |      1,484        0.03       90.05
      84403 |      1,478        0.03       90.09
      72131 |      1,459        0.03       90.12
      11040 |      1,453        0.03       90.15
      92012 |      1,438        0.03       90.19
      80164 |      1,437        0.03       90.22
      A4209 |      1,436        0.03       90.25
      85048 |      1,413        0.03       90.28
      83970 |      1,399        0.03       90.32
      74280 |      1,392        0.03       90.35
      93736 |      1,369        0.03       90.38
      93012 |      1,368        0.03       90.41
      85002 |      1,365        0.03       90.44
      77328 |      1,358        0.03       90.47
      88172 |      1,358        0.03       90.51
      80197 |      1,345        0.03       90.54
      55859 |      1,343        0.03       90.57
      80069 |      1,339        0.03       90.60
      86677 |      1,329        0.03       90.63
      72040 |      1,328        0.03       90.66
      31622 |      1,317        0.03       90.69
      74220 |      1,308        0.03       90.72
      86430 |      1,303        0.03       90.75
      97504 |      1,298        0.03       90.78
      G0169 |      1,295        0.03       90.81
      J9181 |      1,276        0.03       90.84
      G0172 |      1,271        0.03       90.87
      74400 |      1,266        0.03       90.90
      74270 |      1,263        0.03       90.93
      82055 |      1,260        0.03       90.96
      J0690 |      1,259        0.03       90.98
      70486 |      1,256        0.03       91.01
      81050 |      1,251        0.03       91.04
      85045 |      1,249        0.03       91.07
      92014 |      1,248        0.03       91.10
      71101 |      1,247        0.03       91.13
      93226 |      1,247        0.03       91.16
      76950 |      1,242        0.03       91.19
      87177 |      1,234        0.03       91.21
      77321 |      1,224        0.03       91.24
      31625 |      1,205        0.03       91.27
      94375 |      1,204        0.03       91.30
      11042 |      1,200        0.03       91.33
      G0009 |      1,197        0.03       91.35
      83520 |      1,193        0.03       91.38
      80156 |      1,191        0.03       91.41
      J2765 |      1,188        0.03       91.44
      87081 |      1,184        0.03       91.46
      99242 |      1,182        0.03       91.49
      66821 |      1,179        0.03       91.52
      97750 |      1,157        0.03       91.54
      73590 |      1,151        0.03       91.57
      J3490 |      1,149        0.03       91.60
      70551 |      1,148        0.03       91.62
      82251 |      1,148        0.03       91.65
      81015 |      1,138        0.03       91.68
      76775 |      1,131        0.03       91.70
      J9093 |      1,124        0.03       91.73
      J1955 |      1,119        0.03       91.75
      94360 |      1,103        0.03       91.78
      74246 |      1,100        0.03       91.81
      92525 |      1,097        0.03       91.83
      73550 |      1,094        0.03       91.86
      G0108 |      1,094        0.03       91.88
      J1200 |      1,091        0.03       91.91
      94260 |      1,077        0.02       91.93
      87116 |      1,071        0.02       91.96
      70460 |      1,066        0.02       91.98
      88300 |      1,063        0.02       92.00
      A9502 |      1,059        0.02       92.03
      77778 |      1,037        0.02       92.05
      86618 |      1,031        0.02       92.08
      49505 |      1,023        0.02       92.10
      45330 |      1,017        0.02       92.12
      82105 |      1,007        0.02       92.15
      A0328 |      1,005        0.02       92.17
      17000 |        998        0.02       92.19
      82131 |        996        0.02       92.22
      38525 |        995        0.02       92.24
      53670 |        992        0.02       92.26
      86803 |        985        0.02       92.28
      J1260 |        985        0.02       92.31
      76536 |        981        0.02       92.33
      76001 |        977        0.02       92.35
      77790 |        977        0.02       92.37
      73060 |        969        0.02       92.40
      72141 |        968        0.02       92.42
      99241 |        966        0.02       92.44
      80050 |        964        0.02       92.46
      88142 |        963        0.02       92.49
      72052 |        959        0.02       92.51
      19160 |        956        0.02       92.53
      76830 |        953        0.02       92.55
      72072 |        946        0.02       92.57
      88170 |        942        0.02       92.60
      82552 |        928        0.02       92.62
      86431 |        928        0.02       92.64
      73721 |        927        0.02       92.66
      80178 |        925        0.02       92.68
      74420 |        920        0.02       92.70
      J1245 |        920        0.02       92.72
      Q0179 |        915        0.02       92.74
      J1626 |        914        0.02       92.77
      94200 |        911        0.02       92.79
      J9370 |        906        0.02       92.81
      J7120 |        904        0.02       92.83
      36000 |        902        0.02       92.85
      A4645 |        895        0.02       92.87
      J7050 |        884        0.02       92.89
      82375 |        882        0.02       92.91
      84233 |        879        0.02       92.93
      95904 |        874        0.02       92.95
      78890 |        873        0.02       92.97
      12001 |        871        0.02       92.99
      90804 |        870        0.02       93.01
      77285 |        867        0.02       93.03
      82330 |        861        0.02       93.05
      80074 |        853        0.02       93.07
      93922 |        848        0.02       93.09
      94762 |        848        0.02       93.11
      94620 |        847        0.02       93.13
      36200 |        838        0.02       93.15
      J3370 |        837        0.02       93.17
      97542 |        834        0.02       93.19
      88161 |        833        0.02       93.21
      73140 |        831        0.02       93.23
      77404 |        831        0.02       93.24
      J9201 |        829        0.02       93.26
        521 |        826        0.02       93.28
      77305 |        818        0.02       93.30
      88309 |        811        0.02       93.32
      99195 |        809        0.02       93.34
      76380 |        805        0.02       93.36
      86706 |        804        0.02       93.38
      90801 |        802        0.02       93.39
      G0109 |        797        0.02       93.41
      52005 |        794        0.02       93.43
